slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
node-real-mainnet-growth,,!offer:node-real-growth,"[""[Buy](https://nodereal.io/pricing)""]",,,,,Algorand Indexer,mainnet,,,,,,,,,,,,,,,,,,,
node-real-mainnet-growth-recent-state,,!offer:node-real-growth-recent-state,"[""[Buy](https://nodereal.io/pricing)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
node-real-mainnet-team,,!offer:node-real-team,"[""[Buy](https://nodereal.io/pricing)""]",,,,,Algorand Indexer,mainnet,,,,,,,,,,,,,,,,,,,
node-real-mainnet-team-recent-state,,!offer:node-real-team-recent-state,"[""[Buy](https://nodereal.io/pricing)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nodely-mainnet-enterprise-full-archive,,!offer:nodely-enterprise-full-archive,,,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nodely-mainnet-enterprise-indexer,,!offer:nodely-enterprise-indexer,,,,,,Algorand Indexer,mainnet,,,,,,,,,,,,,,,,,,,
nodely-mainnet-enterprise-recent-state,,!offer:nodely-enterprise-recent-state,,,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nodely-mainnet-free-full-archive,,!offer:nodely-free-full-archive,,,,,,Algorand REST,mainnet,,,,,,,,,,"[""IPFS Gateway""]",,,,,,,,,
nodely-mainnet-free-indexer,,!offer:nodely-free-indexer,,,,,,Algorand Indexer,mainnet,,,,,,,,,,"[""IPFS Gateway""]",,,,,,,,,
nodely-mainnet-free-recent-state,,!offer:nodely-free-recent-state,,,,,,Algorand REST,mainnet,,,,,,,,,,"[""IPFS Gateway""]",,,,,,,,,
nodely-mainnet-pay-as-you-go-full-archive,,!offer:nodely-pay-as-you-go-full-archive,,,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nodely-mainnet-pay-as-you-go-indexer,,!offer:nodely-pay-as-you-go-indexer,,,,,,Algorand Indexer,mainnet,,,,,,,,,,,,,,,,,,,
nodely-mainnet-pay-as-you-go-recent-state,,!offer:nodely-pay-as-you-go-recent-state,,,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-enterprise-full-archive,,!offer:nodely-enterprise-full-archive,,,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-enterprise-indexer,,!offer:nodely-enterprise-indexer,,,,,,Algorand Indexer,testnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-enterprise-recent-state,,!offer:nodely-enterprise-recent-state,,,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-free-full-archive,,!offer:nodely-free-full-archive,,,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-free-indexer,,!offer:nodely-free-indexer,,,,,,Algorand Indexer,testnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-free-recent-state,,!offer:nodely-free-recent-state,,,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-pay-as-you-go-full-archive,,!offer:nodely-pay-as-you-go-full-archive,,,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-pay-as-you-go-indexer,,!offer:nodely-pay-as-you-go-indexer,,,,,,Algorand Indexer,testnet,,,,,,,,,,,,,,,,,,,
nodely-testnet-pay-as-you-go-recent-state,,!offer:nodely-pay-as-you-go-recent-state,,,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-business-recent-state,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-custom-recent-state,,!offer:nownodes-custom-recent-state,"[""[Website](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated-recent-state,,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free-recent-state,,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro-recent-state,,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-business-recent-state,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-dedicated-recent-state,,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-enterprise-recent-state,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-free-recent-state,,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-pro-recent-state,,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-free-plan-indexer,,!offer:onfinality-free-plan-indexer,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://subquery.network/indexer/algorand)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-standard-plan-indexer,,!offer:onfinality-standard-plan-indexer,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://subquery.network/indexer/algorand)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
stakely-mainnet-advanced-recent-state,,!offer:stakely-advanced-recent-state,,,,,,Algorand REST,mainnet,$150/mo,,,,,,,,,,,,,,,,,,
stakely-mainnet-basic-recent-state,,!offer:stakely-basic-recent-state,,,,,,Algorand REST,mainnet,$50/mo,,,,,,,,,,,,,,,,,,
stakely-mainnet-dedicated-full-archive,,!offer:stakely-dedicated-full-archive,,,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
stakely-mainnet-dedicated-recent-state,,!offer:stakely-dedicated-recent-state,,,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
stakely-mainnet-pro-recent-state,,!offer:stakely-pro-recent-state,,,,,,Algorand REST,mainnet,$100/mo,,,,,,,,,,,,,,,,,,
subquery-mainnet-pay-as-you-go-indexer,,!offer:subquery-pay-as-you-go-indexer,"[""[Buy](https://subquery.network/doc/subquery_network/consumers/plan.html#setting-your-flex-plan-pricing)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/algorand.html#algorand-quick-start)""]",,,Archive,Indexed Data,Algorand Indexer,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-free-recent-state,,!offer:tatum-free-recent-state,"[""[Website](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-pro-full-archive,,!offer:tatum-pro-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-pro-recent-state,,!offer:tatum-pro-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-scale-full-archive,,!offer:tatum-scale-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-scale-recent-state,,!offer:tatum-scale-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-starter-full-archive,,!offer:tatum-starter-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-starter-recent-state,,!offer:tatum-starter-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-free-recent-state,,!offer:tatum-free-recent-state,"[""[Website](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-pro-full-archive,,!offer:tatum-pro-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-pro-recent-state,,!offer:tatum-pro-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-scale-full-archive,,!offer:tatum-scale-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-scale-recent-state,,!offer:tatum-scale-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-starter-full-archive,,!offer:tatum-starter-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-starter-recent-state,,!offer:tatum-starter-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
