slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/boba)""]",mainnet,,,,,,,,,
l2beat-mainnet,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/bobanetwork)""]",mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/boba-network)""]",mainnet,,,,,,,,,
