slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,price,starred,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes,tag
beryx-faucet,Beryx,,"[""[Get tokens](https://beryx.io/faucet)"",""[Docs](https://docs.filecoin.io/networks/calibration)""]",calibnet,FALSE,TRUE,$0,FALSE,,5 tFIL,12h,,
chainsafe-faucet,ChainSafe,,"[""[Get tokens](https://faucet.calibnet.chainsafe-fil.io/funds.html)"",""[Docs](https://docs.filecoin.io/build-on-filecoin/developing-contracts/get-test-tokens)""]",calibnet,FALSE,TRUE,$0,FALSE,,100 tFIL,,,
