slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
pyth-calibnet,,!offer:pyth,"[""[FIL/USD](https://app.pyth.com/explore/Crypto.FIL%2FUSD)"",""[Filecoin Docs](https://docs.filecoin.io/build-on-filecoin/advanced/oracles)""]",calibnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[FIL/USD](https://app.pyth.com/explore/Crypto.FIL%2FUSD)"",""[Filecoin Docs](https://docs.filecoin.io/build-on-filecoin/advanced/oracles)""]",mainnet,,,,,,,,,,,,
scry-protocol-mainnet,,!offer:scry-protocol,,mainnet,,,,,,,,,,,,
stork-calibnet,,!offer:stork,"[""[Docs](https://docs.stork.network/resources/contract-addresses/evm)"",""[Contract](https://calibration.filfox.info/en/address/0xacC0a0cF13571d30B4b8637996F5D6D774d4fd62)""]",calibnet,,,,,,,,,,,,
tellor-calibnet,,!offer:tellor,"[""[Filecoin Docs](https://docs.filecoin.io/build-on-filecoin/advanced/oracles)"",""[Docs](https://docs.tellor.io/)""]",calibnet,,,,,,,,,,,,
tellor-mainnet,,!offer:tellor,"[""[Filecoin Docs](https://docs.filecoin.io/build-on-filecoin/advanced/oracles)"",""[Docs](https://docs.tellor.io/)""]",mainnet,,,,,,,,,,,,
