slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,,mainnet,,,,,,,,,,,
taikoscan-mainnet,,!offer:etherscan,"[""[Explore](https://taikoscan.io/)"",""[Docs](https://info.taikoscan.io/what-is-taikoscan/)""]",mainnet,Etherscan,,,,,,,,,,
