slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/somnia)""]",mainnet,,,,,,,,,,,,
api3-testnet,,!offer:api3,"[""[Website](https://market.api3.org/somnia-testnet)""]",testnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)"",""[Oracle Contract](https://explorer.somnia.network/address/0xbA0E0750A56e995506CA458b2BdD752754CF39C4)""]",mainnet,,,,,"[""MAIR pricing methodology"",""0.5% deviation threshold"",""120-second refresh frequency"",""24-hour heartbeat""]","[""USDT/USD"",""USDC/USD"",""BTC/USD"",""ARB/USD"",""SOL/USD""]",,,,,,
dia-testnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)"",""[Oracle Contract](https://shannon-explorer.somnia.network/address/0x9206296Ea3aEE3E6bdC07F7AaeF14DfCf33d865D)""]",testnet,,,,,"[""MAIR pricing methodology"",""0.5% deviation threshold"",""120-second refresh frequency"",""24-hour heartbeat""]","[""USDT/USD"",""USDC/USD"",""BTC/USD"",""ARB/USD"",""SOL/USD""]",,,,,,
protofire-mainnet,,!offer:protofire,"[""[Price Feeds](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)"",""[VRF](https://docs.somnia.network/developer/building-dapps/oracles/using-verifiable-randomness-vrf)""]",mainnet,,,,,"[""AggregatorV3Interface compatibility"",""Read-only proxy contracts"",""VRF v2.5""]","[""BTC/USD"",""ETH/USD"",""USDC/USD"",""Randomness""]",,,,,,
protofire-testnet,,!offer:protofire,"[""[Price Feeds](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)"",""[VRF](https://docs.somnia.network/developer/building-dapps/oracles/using-verifiable-randomness-vrf)""]",testnet,,,,,"[""AggregatorV3Interface compatibility"",""VRF v2.5""]","[""BTC/USD"",""ETH/USD"",""USDC/USD"",""Randomness""]",,,,,,
scry-protocol-mainnet,,!offer:scry-protocol,,mainnet,,,,,,,,,,,,
stork-testnet,,!offer:stork,,testnet,,,,,,,,,,,,
