slug,provider,offer,actionButtons,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
lunarcrush-enterprise,LunarCrush,,"[""[Contact](https://lunarcrush.com/pricing)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]",Custom,,Enterprise,FALSE,
lunarcrush-hobby,LunarCrush,,"[""[Website](https://lunarcrush.com/home?category=cryptocurrencies)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]",$0,Hobby,Free,FALSE,
lunarcrush-individual,LunarCrush,,"[""[Buy](https://lunarcrush.com/pricing)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]","$5/day (daily plan),$90/mo (monthly plan),$72/mo (yearly plan)",Individual,Tiered,FALSE,
lunarcrush-scale,LunarCrush,,"[""[Buy](https://lunarcrush.com/pricing)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]","$45/day (daily plan),$900/mo (monthly plan),$720/mo (yearly plan)",Scale,Tiered,FALSE,
messari,Messari,,"[""[Dashboard](https://messari.io/)""]","[""Network Metrics"",""TVL & Market Data"",""On‑chain Usage Metrics""]",TRUE,,"[""Research Reports"",""API Access"",""Dashboard""]",$0/$4000/year,,Tiered,FALSE,
nansen,Nansen,,"[""[Dashboard](https://app.nansen.ai)""]","[""Exchange Flows"",""Token Distribution"",""DeFi Activity"",""NFT Analytics"",""Wallet Labels""]",TRUE,,"[""Smart Money API"",""Profiler API"",""API Keys""]","$0/$69/mo (monthly plan), $0/$49/mo (yearly plan)",,Tiered,FALSE,
nodely-network-analytics,Nodely,Network Analytics,"[""[Dashboard](https://g.nodely.io/d/network)"",""[Telemetry](https://g.nodely.io/d/telemetrymain)""]","[""Network Metrics"",""TPS"",""Ledger Size"",""Consensus"",""Staking"",""Node Telemetry""]",TRUE,,,$0,,Free,FALSE,"[""Network Analytics""]"
santiment-business-max,Santiment,,"[""[Buy](https://app.santiment.net/pricing?plans=business)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]","$999/mo,$11388/yr",Business Max,Tiered,FALSE,
santiment-business-pro,Santiment,,"[""[Buy](https://app.santiment.net/pricing?plans=business)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]","$420/mo,$4788/yr",Business Pro,Tiered,FALSE,
santiment-enterprise,Santiment,,"[""[Contact](https://calendly.com/santiment-team/santiment-enterprise-plan-enquiry)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]",Custom,,Enterprise,FALSE,
santiment-free,Santiment,,"[""[Website](https://app.santiment.net/)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]",$0,,Free,FALSE,
santiment-sanbase-max,Santiment,,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]","$49/mo,$529/yr",Sanbase Max,Tiered,FALSE,
santiment-sanbase-pro,Santiment,,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]","$249/mo,$2700/yr",Sanbase Pro,Tiered,FALSE,
sentry-aleno,Sentry by Aleno,,"[""[Docs](https://docs.aleno.ai/apis/rest-v1)""]","[""Asset prices"",""TVL"",""Cross-chain activity metrics"",""Cross protocol data"",""Market analysis metrics""]",FALSE,,"[""REST API""]",Custom,,Enterprise,FALSE,
starboard,Starboard,,"[""[Dashboard](https://dashboard.starboard.ventures/dashboard/analytics#capacityservices-storage-state)""]","[""DeFI Deposits / Borrows"",""Storage Capacity"",""Data Utilization Rate"",""Active Miners"",""Capacity Added"",""Sector Onboarding"",""Sectors Expiration"",""Capacity Terminated"",""Storage Power Added"",""Sectors Added"",""Faults"",""Retrieval Success Rate"",""Block Rewards"",""Commit Pledge"",""Active Deals"",""Deal Duration"",""Deal Size"",""Deal Collateral"",""DataCap"",""Network Fee"",""Sealing cost"",""Deal Publication Cost"",""Contract Invocation Cost"",""Gas Usage"",""Circulating Supply"",""Contracts"",""Transactions"",""Active Users"",""Accounts"",""Miner Revenue""]",TRUE,,"[""Scope Space API"",""Data API"",""FVM Explorer APIs"",""Hardhat plugin API""]",$0,,Free,FALSE,
tokenterminal,token terminal,,"[""[Dashboard](https://tokenterminal.com/)""]","[""Active wallets"",""Active projects"",""Revenue"",""Fees""]",TRUE,,"[""JSON-RPC with 60 RPS""]","$0/$350/mo (monthly plan), $0/$292/mo (yearly plan)",,Tiered,FALSE,
zapper,Zapper,,"[""[Dashboard](https://zapper.xyz/)""]","[""Portfolio"",""NFTs"",""DeFi""]",TRUE,,"[""GraphQL""]",$0,,Free,FALSE,
