slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
plasmascan-mainnet,,!offer:etherscan,"[""[Explore](https://plasmascan.to/)""]",mainnet,,,,,,,,,,,
plasmascan-testnet,,!offer:etherscan,"[""[Explore](https://testnet.plasmascan.to/)""]",testnet,,,,,,,,,,,
